˜Ï,ãæÌæÏ?,ProductId,QuantityId,CurrentQuantity
6269764000266,100,,,
6269764000259,100,,,
6269764000297,100,,,
6269764000303,100,,,
6269764000389,100,,,
6269764000372,100,,,
6269764000365,100,,,
6269764000358,100,,,
6269764000341,100,,,
6263679900048,9,,,
6263679900055,9,,,
6263679900451,9,,,
6263679900468,6,,,
6263679900727,9,,,
6263679900710,6,,,
6263679900369,6,,,
6263679900666,6,,,
6263679900604,12,,,
6263679900284,18,,,
6263679900314,18,,,
6263679900123,18,,,
6263679900383,18,,,
6263679900239,18,,,
6263679900246,18,,,
beh001,60,,,
beh002,60,,,
beh003,60,,,
beh004,60,,,
beh005,120,,,
beh006,120,,,
beh007,120,,,
beh008,240,,,
beh009,60,,,
beh010,60,,,
beh011,30,,,
beh012,120,,,
beh013,60,,,
30101445,12,,,
30102040,12,,,
30101084,24,,,
30101024,12,,,
30102025,12,,,
30301017,18,,,
30302005,12,,,
30302020,12,,,
30301018,24,,,
30102051,12,,,
30102030,12,,,
30101506,12,,,
30102055,12,,,
6269335500126,10,,,
6269335500119,10,,,
6269335500157,10,,,
6269335500133,10,,,
6269335500164,20,,,
6269335500140,10,,,
2848,343,,,
2849,100,,,
6260184251016,12,,,
6260184253010,12,,,
6260184254017,24,,,
6260184255014,12,,,
6260184256219,24,,,
6260184256066,12,,,
6260184251214,12,,,
6260184250019,24,,,
6260184220043,12,,,
6260184223518,12,,,
6260184225017,12,,,
6260184227042,12,,,
6260184220562,12,,,
6260184211362,12,,,
6260184211867,12,,,
6260184211591,12,,,
6260184211348,12,,,
6260184211126,12,,,
6260184227097,12,,,
6260184222047,12,,,
6260184280566,12,,,
6260184280764,24,,,
6260184280955,12,,,
6260184281150,24,,,
6260184281358,24,,,
6260184282744,12,,,
6260184283857,12,,,
6260184283987,12,,,
6260184284052,12,,,
6260184284069,12,,,
6260184284038,12,,,
6260184284045,12,,,
6260184284762,12,,,
6260184290022,12,,,
6260184290015,12,,,
6260184258206,12,,,
6260184258022,12,,,
6260184258220,12,,,
6260184258039,12,,,
6260184282027,12,,,
6260184282102,12,,,
6260184282515,12,,,
6260184282089,12,,,
6260184282539,12,,,
6260184283970,12,,,
6260184286216,12,,,
6260184286230,12,,,
6260184286629,12,,,
6260184279539,12,,,
6260184294730,12,,,
6260113801022,12,,,
6260113801015,12,,,
6260113801251,24,,,
6260113801039,12,,,
6260113899326,24,,,
6260113800988,12,,,
6260113899319,24,,,
6260113899272,24,,,
6260113800018,12,,,
6260113801060,12,,,
6260113801046,12,,,
6260113899302,24,,,
3370,18,,,
6266840800130,35,,,
6266840800086,48,,,
6266840800048,36,,,
62697259200031,16,,,
6266840800345,30,,,
6266840800352,30,,,
6266840800321,30,,,
6266840800376,30,,,
6266840800062,64,,,
ava001,12,,,
ava002,12,,,
ava003,12,,,
ava004,12,,,
ava005,12,,,
ava006,12,,,
ava007,12,,,
ava008,24,,,
ava009,12,,,
ava010,20,,,
ava011,24,,,
ava012,24,,,
ava013,24,,,
ava014,12,,,
ava015,24,,,
ava016,12,,,
ava017,12,,,
ava018,12,,,
ava019,12,,,
ava020,12,,,
ava021,12,,,
ava022,12,,,
ava023,8,,,
ava024,24,,,
ava025,12,,,
ava026,24,,,
ava027,24,,,
ava028,24,,,
ava029,24,,,
ava030,24,,,
ava031,24,,,
ava032,12,,,
ava033,6,,,
ava034,6,,,
ava035,6,,,
ava036,10,,,
ava037,16,,,
ava038,16,,,
ava039,16,,,
ava040,32,,,
ava041,12,,,
ava042,12,,,
ava043,18,,,
ava044,36,,,
ava045,12,,,
ava046,24,,,
ava047,24,,,
ava048,24,,,
ava049,24,,,
ava050,6,,,
102009,12,,,
102013,12,,,
102021,24,,,
103010,36,,,
103015,24,,,
103018,24,,,
103019,24,,,
103027,24,,,
103031,40,,,
103072,24,,,
103073,24,,,
103078,16,,,
103220,0,,,
103608,6,,,
103651,24,,,
103653,24,,,
103654,24,,,
103655,12,,,
103667,12,,,
103719,0,,,
103732,12,,,
103733,12,,,
103738,12,,,
103743,0,,,
105121,12,,,
107207,10,,,
107210,10,,,
107215,10,,,
108001,20,,,
108006,20,,,
108007,20,,,
108012,20,,,
108202,20,,,
110001,30,,,
110002,60,,,
110005,30,,,
110007,36,,,
110008,60,,,
110009,20,,,
110042,30,,,
110044,20,,,
110074,20,,,
111010,18,,,
111130,12,,,
111139,12,,,
111150,18,,,
112016,10,,,
113012,96,,,
113015,144,,,
113029,60,,,
113030,48,,,
113039,48,,,
113040,48,,,
113041,48,,,
113042,48,,,
113044,20,,,
113045,40,,,
113047,20,,,
113048,20,,,
113049,20,,,
203012,5,,,
203014,12,,,
203015,12,,,
203017,3,,,
203461,3,,,
203464,3,,,
204026,2,,,
204206,3,,,
204222,3,,,
204224,3,,,
204308,2,,,
211010,120,,,
301005,72,,,
301010,72,,,
301015,80,,,
400014,12,,,
400053,16,,,
400054,8,,,
400059,12,,,
400060,12,,,
400065,12,,,
400066,12,,,
400095,1,,,
400320,48,,,
400511,72,,,
400513,60,,,
400529,12,,,
400604,12,,,
400610,12,,,
400616,12,,,
401001,12,,,
401004,12,,,
401107,12,,,
401201,20,,,
401214,12,,,
401255,16,,,
401327,15,,,
401358,4,,,
401432,12,,,
401433,12,,,
401434,12,,,
401465,12,,,
401466,4,,,
401469,12,,,
401482,48,,,
401483,24,,,
401485,16,,,
401486,4,,,
401717,12,,,
402030,40,,,
402031,40,,,
402032,36,,,
402101,24,,,
402102,12,,,
402103,8,,,
402104,4,,,
402127,12,,,
410004,20,,,
410005,20,,,
